date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1990-03-31,หอมหัวใหญ่,ประเทศ,,3.43,3430.0,พืชผัก,หอมหัวใหญ่
1990-03-31,สุกร,ประเทศ,,23.49,23490.0,ปศุสัตว์,สุกร
1990-03-31,ไก่เนื้อ,ประเทศ,,23.35,23350.0,ปศุสัตว์,ไก่เนื้อ
1990-03-31,ไข่ไก่,ประเทศ,137.0,1.096,1096.0,ปศุสัตว์,ไข่ไก่
1990-03-31,ข้าวนาปรัง,ประเทศ,,3.803,3803.0,พืชไร่,ข้าว
1990-04-30,ข้าวหอมมะลิ,ประเทศ,,4.232,4232.0,พืชไร่,ข้าว
1990-04-30,ข้าวเจ้าอื่น,ประเทศ,,3.937,3937.0,พืชไร่,ข้าว
1990-04-30,ข้าวเหนียว,ประเทศ,,3.229,3229.0,พืชไร่,ข้าว
1990-04-30,ข้าวนาปี,ประเทศ,,3.703,3703.0,พืชไร่,ข้าว
1990-04-30,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.96,2960.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-04-30,มันสำปะหลัง,ประเทศ,,0.6,600.0,พืชไร่,มันสำปะหลัง
1990-04-30,สับปะรดโรงงาน,ประเทศ,,1.1,1100.0,พืชไร่,สับปะรดโรงงาน
1990-04-30,มะพร้าว,ประเทศ,254.0,2.032,2032.0,พืชยืนต้น,มะพร้าว
1990-04-30,ยางพารา,ประเทศ,,16.87,16870.0,พืชยืนต้น,ยางพารา
1990-04-30,กาแฟ,ประเทศ,,21.5,21500.0,พืชยืนต้น,กาแฟ
1990-04-30,กระเทียม,ประเทศ,,12.54,12540.0,พืชผัก,กระเทียม
1990-04-30,หอมแดง,ประเทศ,,10.01,10010.0,พืชผัก,หอมแดง
1990-04-30,หอมหัวใหญ่,ประเทศ,,2.9,2900.0,พืชผัก,หอมหัวใหญ่
1990-04-30,สุกร,ประเทศ,,22.95,22950.0,ปศุสัตว์,สุกร
